00_20250504_140231683_regrets_v1.avif,?/37308/category/2137
01_20250504_140850146_modern_downtown_tartu.avif,?/37311/category/2137
02_20250504_142608165_view_from_hotell_dorpat_room.avif,?/37315/category/2137
03_20250505_041841459_kissing_students_statue.avif,?/35526/category/2095
04_20250505_154431219_delta_tartu_ulikool.avif,?/35536/category/2095
05_20250507_162518098_tartu_judo.avif,?/35856/category/2104
10_03001_tartu_st_georgs_church_v1.avif,?/34788/category/2068
20_20250508_170311030_tartu_tourist_area_street_v1.avif,?/34812/category/2068
21_20250509_073044212_sailing_by_v1.avif,?/35251/category/2084
22_20250509_200325541_under_the_bridge_rahu.avif,?/35266/category/2084
23_20250510_065232075_more_strawberries.avif,?/35468/category/2094
