01_02738_pyramid_peak_v1.avif,?/38125/category/2169
02_20250919_205917695_among_the_rocks.avif,?/38152/category/2169
03_20250919_215432582_portable_rope_tow.avif,?/38156/category/2169
04_20250920_010945057_pretty_icy_up_to_the_crater.avif,?/38165/category/2169
10_04621_summit_plateau_v1.avif,?/38139/category/2169
11_20250920_025922653_blair.avif,?/38172/category/2169
12_20250920_033635230_skiing.PANO.avif,?/38185/category/2169
13_20250920_040216612_ringatoto_n_buttress.avif,?/38189/category/2169
14_20250920_043610365_wind_transport_v1.avif,?/38195/category/2169
20_02779_blowing_on_the_waterfall_v1.avif,?/38200/category/2170
21_02786_ross_the_fireman_v1.avif,?/38203/category/2170
22_20250920_225357589_frozen_water_v1.avif,?/38219/category/2170
