00_03395_other_stars_v1.avif,?/39852/category/2223
01_20251121_191604162_skis_and_ringatoto.avif,?/39808/category/2222
03_04688_falls_under_te_heu_heu_v2.avif,?/39770/category/2222
05_20251121_214018080_slide_path.avif,?/39814/category/2222
06_04716_fin_v1.avif,?/39778/category/2222
07_04775_cliffs_over_lake_v1.avif,?/39791/category/2222
08_04793_skiiable_chiaroscuro_v1.avif,?/39795/category/2222
10_20251122_003018585_blair_at_rock_band_transition.avif,?/39824/category/2222
11_20251122_010744522_looking_over_the_edge_v1.avif,?/39826/category/2222
12_20251122_011348798_b_near_tukino_summit.avif,?/39829/category/2222
20_04830_ready_to_ski_v1.avif,?/39804/category/2222
21_03435_snow_and_rocks_around_cathedral_rocks_v1.avif,?/39756/category/2222
22_20251122_164439550_morning_at_tukino.avif,?/39545/category/2216
23_03474_cloud_and_snow_on_te_heu_heu_v1.avif,?/39524/category/2216
24_03479_te_heu_heu_summit_in_clouds_v1.avif,?/39526/category/2216
